,start,end,duration
84,2023-02-15 08:11:13,2023-02-16 00:27:24,0 days 16:16:11
85,2023-02-16 08:10:01,2023-02-17 00:25:16,0 days 16:15:15
86,2023-02-17 08:08:49,2023-02-18 00:23:09,0 days 16:14:20
87,2023-02-18 08:07:37,2023-02-19 00:21:02,0 days 16:13:25
88,2023-02-19 08:06:25,2023-02-20 00:18:56,0 days 16:12:31
89,2023-02-20 08:05:14,2023-02-21 00:16:49,0 days 16:11:35
90,2023-02-21 08:04:02,2023-02-22 00:14:44,0 days 16:10:42
91,2023-02-22 08:02:51,2023-02-23 00:12:38,0 days 16:09:47
92,2023-02-23 08:01:41,2023-02-24 00:10:33,0 days 16:08:52
93,2023-02-24 08:00:30,2023-02-25 00:08:28,0 days 16:07:58
94,2023-02-25 07:59:20,2023-02-26 00:06:23,0 days 16:07:03
95,2023-02-26 07:58:10,2023-02-27 00:04:19,0 days 16:06:09
96,2023-02-27 07:57:01,2023-02-28 00:02:14,0 days 16:05:13
97,2023-02-28 07:55:52,2023-03-01 00:00:10,0 days 16:04:18
98,2023-03-01 07:54:43,2023-03-01 23:58:06,0 days 16:03:23
99,2023-03-02 07:53:35,2023-03-02 23:56:02,0 days 16:02:27
100,2023-03-03 07:52:27,2023-03-03 23:53:57,0 days 16:01:30
101,2023-03-04 07:51:19,2023-03-04 23:51:53,0 days 16:00:34
102,2023-03-05 07:50:12,2023-03-05 23:49:48,0 days 15:59:36
103,2023-03-06 07:49:05,2023-03-06 23:47:44,0 days 15:58:39
104,2023-03-07 07:47:58,2023-03-07 23:45:39,0 days 15:57:41
105,2023-03-08 07:46:52,2023-03-08 23:43:35,0 days 15:56:43
106,2023-03-09 07:45:46,2023-03-09 23:41:30,0 days 15:55:44
107,2023-03-10 07:44:41,2023-03-10 23:39:24,0 days 15:54:43
108,2023-03-11 07:43:36,2023-03-11 23:37:19,0 days 15:53:43
109,2023-03-12 07:42:32,2023-03-12 23:35:13,0 days 15:52:41
110,2023-03-13 07:41:28,2023-03-13 23:33:07,0 days 15:51:39
111,2023-03-14 07:40:25,2023-03-14 23:31:01,0 days 15:50:36
112,2023-03-15 07:39:22,2023-03-15 23:28:55,0 days 15:49:33
113,2023-03-16 07:38:19,2023-03-16 23:26:48,0 days 15:48:29
114,2023-03-17 07:37:17,2023-03-17 23:24:41,0 days 15:47:24
115,2023-03-18 07:36:16,2023-03-18 23:22:34,0 days 15:46:18
116,2023-03-19 07:35:15,2023-03-19 23:20:26,0 days 15:45:11
117,2023-03-20 07:34:14,2023-03-20 23:18:18,0 days 15:44:04
118,2023-03-21 07:33:14,2023-03-21 23:16:10,0 days 15:42:56
119,2023-03-22 07:32:15,2023-03-22 23:14:01,0 days 15:41:46
120,2023-03-23 07:31:16,2023-03-23 23:11:52,0 days 15:40:36
121,2023-03-24 07:30:18,2023-03-24 23:09:42,0 days 15:39:24
122,2023-03-25 07:29:20,2023-03-25 23:07:32,0 days 15:38:12
123,2023-03-26 07:28:22,2023-03-26 23:05:22,0 days 15:37:00
124,2023-03-27 07:27:26,2023-03-27 23:03:11,0 days 15:35:45
125,2023-03-28 07:26:29,2023-03-28 23:00:59,0 days 15:34:30
126,2023-03-29 07:25:33,2023-03-29 22:58:47,0 days 15:33:14
127,2023-03-30 07:24:38,2023-03-30 22:56:35,0 days 15:31:57
128,2023-03-31 07:23:43,2023-03-31 22:54:22,0 days 15:30:39
129,2023-04-01 07:22:49,2023-04-01 22:52:09,0 days 15:29:20
130,2023-04-02 07:21:55,2023-04-02 22:49:55,0 days 15:28:00
131,2023-04-03 07:21:02,2023-04-03 22:47:40,0 days 15:26:38
132,2023-04-04 07:20:09,2023-04-04 22:45:25,0 days 15:25:16
133,2023-04-05 07:19:16,2023-04-05 22:43:09,0 days 15:23:53
134,2023-04-06 07:18:24,2023-04-06 22:40:53,0 days 15:22:29
135,2023-04-07 07:17:33,2023-04-07 22:38:36,0 days 15:21:03
136,2023-04-08 07:16:42,2023-04-08 22:36:19,0 days 15:19:37
137,2023-04-09 07:15:51,2023-04-09 22:34:01,0 days 15:18:10
138,2023-04-10 07:15:01,2023-04-10 22:31:42,0 days 15:16:41
139,2023-04-11 07:14:11,2023-04-11 22:29:23,0 days 15:15:12
140,2023-04-12 07:13:22,2023-04-12 22:27:03,0 days 15:13:41
141,2023-04-13 07:12:34,2023-04-13 22:24:42,0 days 15:12:08
142,2023-04-14 07:11:45,2023-04-14 22:22:21,0 days 15:10:36
143,2023-04-15 07:10:58,2023-04-15 22:20:00,0 days 15:09:02
144,2023-04-16 07:10:10,2023-04-16 22:17:37,0 days 15:07:27
145,2023-04-17 07:09:23,2023-04-17 22:15:15,0 days 15:05:52
